City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
191,Antofagasta,-23.65,-70.4,63.68,70,12,7.14,CL,few clouds
192,Kalabo,-14.97,22.6814,64.53,55,4,5.61,ZM,clear sky
193,Jizan,17.3333,42.6667,88.74,63,24,3.56,SA,few clouds
194,Thinadhoo,0.5333,72.9333,85.87,72,97,16.78,MV,overcast clouds
195,Riberalta,-10.9833,-66.1,89.8,58,40,6.91,BO,scattered clouds
196,Shingu,33.7333,135.9833,48.38,73,100,7.11,JP,overcast clouds
197,Egvekinot,66.3167,-179.1667,8.04,82,18,8.21,RU,few clouds
198,Bambous Virieux,-20.3428,57.7575,75.45,94,75,3.44,MU,broken clouds
199,Tawang,27.5833,91.8667,44.96,90,42,1.14,IN,scattered clouds
200,Poum,-20.2333,164.0167,77.38,79,6,3.67,NC,clear sky
201,La Ronge,55.1001,-105.2842,32.25,69,100,6.91,CA,overcast clouds
202,Upernavik,72.7868,-56.1549,12.15,74,100,4.72,GL,overcast clouds
203,Alepe,5.5004,-3.6631,84.07,83,16,5.95,CI,few clouds
204,Baie-Comeau,49.2168,-68.1489,44.28,65,20,10.36,CA,few clouds
205,Sovetskaya Gavan,48.9723,140.2878,31.51,90,100,5.03,RU,overcast clouds
206,Avarua,-21.2078,-159.775,75.25,100,20,1.14,CK,few clouds
207,Nikolskoye,59.7035,30.7861,44.49,83,34,4.38,RU,scattered clouds
208,Menongue,-14.6585,17.691,67.32,54,93,4.38,AO,overcast clouds
209,Staryy Nadym,65.6118,72.6842,21.16,93,100,2.13,RU,overcast clouds
210,Korla,41.7597,86.1469,61.47,26,53,5.48,CN,broken clouds
211,Saskylakh,71.9167,114.0833,2.59,99,60,5.55,RU,broken clouds
212,Haines Junction,60.7522,-137.5108,39.15,65,100,2.3,CA,overcast clouds
213,Karasjok,69.4719,25.5112,27.23,91,100,4.61,NO,overcast clouds
214,Faanui,-16.4833,-151.75,80.67,74,20,11.86,PF,few clouds
215,Kalmar,56.6616,16.3616,47.14,60,0,5.75,SE,clear sky
216,Vila Franca Do Campo,37.7167,-25.4333,64.81,75,42,2.17,PT,scattered clouds
217,Port Lincoln,-34.7333,135.8667,58.53,87,0,8.23,AU,clear sky
218,Ancud,-41.8697,-73.8203,54.93,78,66,7.56,CL,broken clouds
219,Burayevo,55.8407,55.4083,32.85,66,0,6.29,RU,clear sky
220,Semporna,4.4818,118.6112,78.93,87,28,5.21,MY,scattered clouds
221,Sembakung,3.8167,117.25,73.62,99,100,2.64,ID,overcast clouds
222,Agadez,19.75,10.25,92.52,10,10,9.51,NE,clear sky
223,Margate,51.3813,1.3862,54.7,67,100,1.01,GB,overcast clouds
224,Vila Velha,-20.3297,-40.2925,85.95,62,75,10.36,BR,broken clouds
225,Nipawin,53.3668,-104.0009,41.04,65,100,4.61,CA,overcast clouds
226,Robore,-18.3333,-59.75,93.29,52,40,11.5,BO,scattered clouds
227,Brae,60.3964,-1.353,47.14,90,100,9.53,GB,overcast clouds
228,Rio Gallegos,-51.6226,-69.2181,48.25,76,75,8.05,AR,broken clouds
229,Russell,32.3502,-85.1999,83.48,65,75,3.44,US,broken clouds
230,Cherskiy,68.75,161.3,16.36,89,19,7.61,RU,few clouds
231,Atambua,-9.1061,124.8925,72.28,90,47,4.79,ID,scattered clouds
232,Leh,34.1667,77.5833,46.33,35,0,6.82,IN,clear sky
233,Coahuayana,18.7333,-103.6833,90.93,29,87,8.12,MX,overcast clouds
234,Ostrovnoy,68.0531,39.5131,18.75,89,71,6.67,RU,broken clouds
235,Naze,28.3667,129.4833,63.52,64,100,12.68,JP,light rain
236,Puerto Madryn,-42.7692,-65.0385,52.02,55,100,5.41,AR,overcast clouds
237,Adamas,36.7333,24.4333,61.66,76,100,5.01,GR,overcast clouds
238,Sinnamary,5.3833,-52.95,82.13,71,70,12.21,GF,broken clouds
239,Vardo,70.3705,31.1107,21.18,86,40,6.91,NO,scattered clouds
240,Englewood,39.6478,-104.9878,66.13,32,100,5.01,US,overcast clouds
241,Novochernorechenskiy,56.2669,91.0828,40.12,82,100,10.54,RU,overcast clouds
242,Pisco,-13.7,-76.2167,70.02,83,0,9.22,PE,clear sky
243,Terrace,54.5163,-128.6035,48.11,93,100,6.91,CA,light rain
244,Penzance,50.1186,-5.5371,50.0,90,100,4.92,GB,overcast clouds
245,Fenoarivo,-18.933,47.4354,64.47,82,40,2.3,MG,scattered clouds
246,Samarai,-10.6167,150.6667,79.83,81,32,7.81,PG,light rain
247,Sobolevo,54.4299,31.8996,42.21,68,97,1.12,RU,overcast clouds
248,Hovd,48.0056,91.6419,56.14,20,100,8.14,MN,overcast clouds
249,Berbera,10.4396,45.0143,85.73,70,100,8.52,SO,overcast clouds
250,Lao Cai,22.4833,103.95,64.98,88,100,2.08,VN,overcast clouds
251,Sikonge,-5.6333,32.7667,66.43,90,100,3.04,TZ,light rain
252,Nsanje,-16.92,35.262,67.53,91,21,3.33,MW,few clouds
253,San Cristobal,7.7669,-72.225,87.98,58,29,6.96,VE,scattered clouds
254,Alofi,-19.0595,-169.9187,75.09,94,100,2.3,NU,overcast clouds
255,Magadi,12.9667,77.2333,78.46,62,100,10.11,IN,overcast clouds
256,Spartanburg,34.9496,-81.9321,80.71,60,100,1.01,US,overcast clouds
257,Hit,33.6416,42.8251,78.93,38,0,18.92,IQ,clear sky
258,Kedgwick,47.6446,-67.3434,42.37,87,100,7.45,CA,overcast clouds
259,Fortuna,40.5982,-124.1573,61.93,74,0,13.8,US,clear sky
260,Stendal,52.6,11.85,54.95,66,100,6.04,DE,overcast clouds
261,Ust-Kuyga,70.0167,135.6,20.86,86,95,11.5,RU,overcast clouds
262,Polunochnoye,60.8697,60.4153,20.91,99,56,3.15,RU,broken clouds
263,Saldanha,-33.0117,17.9442,60.85,81,0,11.1,ZA,clear sky
264,Jadu,31.953,12.0261,53.55,74,19,14.81,LY,few clouds
265,Bandarbeyla,9.4942,50.8122,84.34,78,66,9.37,SO,broken clouds
266,Shulan,44.4167,126.95,33.06,90,18,1.16,CN,few clouds
267,Port Blair,11.6667,92.75,80.64,89,40,2.3,IN,mist
268,Kosonsoy,41.2561,71.5508,66.76,31,21,7.72,UZ,few clouds
